   y(mm)   u(m/s)
   4.1143654e+00   9.9985065e-01
   4.1201767e+00   9.9985242e-01
   4.1259879e+00   9.9985414e-01
   4.1317992e+00   9.9985581e-01
   4.1376104e+00   9.9985744e-01
   4.1434217e+00   9.9985902e-01
   4.1492329e+00   9.9986056e-01
   4.1550442e+00   9.9986205e-01
   4.1608554e+00   9.9986351e-01
   4.1666667e+00   9.9986493e-01
   4.1724779e+00   9.9986630e-01
   4.1782892e+00   9.9986764e-01
   4.1841004e+00   9.9986895e-01
   4.1899117e+00   9.9987021e-01
   4.1957229e+00   9.9987145e-01
   4.2015342e+00   9.9987265e-01
   4.2073454e+00   9.9987381e-01
   4.2131567e+00   9.9987495e-01
   4.2189679e+00   9.9987605e-01
   4.2247792e+00   9.9987713e-01
   4.2305904e+00   9.9987818e-01
   4.2364017e+00   9.9987920e-01
   4.2422129e+00   9.9988019e-01
   4.2480242e+00   9.9988116e-01
